date,quarter,mesghal,usd
2025-03-17,348000000,351340000,973900
2025-03-24,330000000,343840000,976550
2025-03-26,339000000,351490000,1018850
2025-03-28,349000000,358740000,1036950
2025-04-04,312000000,334470000,1032900
2025-04-05,322000000,345810000,1028200
2025-04-06,332000000,338910000,1045350
2025-04-07,310000000,319340000,1058100
2025-04-08,310000000,326690000,998800
2025-04-09,315000000,330810000,999100
2025-04-11,295000000,319500000,994200
2025-04-12,270000000,286880000,897950
2025-04-13,270000000,293250000,850150
2025-04-14,275000000,292130000,894900
2025-04-15,275000000,302120000,880200
2025-04-16,275500000,297510000,880200
2025-04-18,260000000,283720000,849650
2025-04-19,260000000,284020000,829100
2025-04-20,256000000,287330000,831050
2025-04-21,251000000,284730000,818900
2025-04-22,247000000,281960000,813150
2025-04-25,244000000,288540000,795650
2025-04-26,246000000,289950000,829250
2025-04-27,246000000,283050000,832650
2025-04-28,244000000,281120000,808750
2025-04-29,247000000,281050000,808850
2025-04-30,246000000,278320000,814000
2025-05-02,265000000,293550000,850200
2025-05-03,280000000,294840000,851650
2025-05-04,277000000,293660000,862400
2025-05-05,266000000,289750000,842700
2025-05-06,261000000,288630000,823400
2025-05-07,263000000,290250000,821200
2025-05-09,258000000,291020000,819650
2025-05-10,260000000,287410000,834150
2025-05-11,253000000,283440000,831000
2025-05-12,251000000,284780000,835900
2025-05-13,249000000,280040000,835600
2025-05-14,250000000,278920000,831650
2025-05-16,242000000,273210000,829700
2025-05-17,237000000,269320000,822750
2025-05-18,234000000,271010000,817400
2025-05-19,250000000,285490000,817900
2025-05-20,250000000,280830000,841400
2025-05-21,249000000,282830000,824600
2025-05-23,244000000,284610000,832500
2025-05-24,241000000,283120000,828200
2025-05-25,241000000,280400000,823950
2025-05-26,242000000,279810000,822150
2025-05-27,241000000,279010000,828500
2025-05-28,239000000,279010000,824450
2025-05-30,236000000,279280000,827700
2025-05-31,232000000,277950000,825350
